date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:28:32	12795/12795	---M-Z	200	added ('OK')	text/css	etag:%225eb03e58-31fb%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.min.css	C:/My%20Web%20Sites/ucold/cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.min.css	(from https://umrahcompanions.com/)
18:28:33	13383/13383	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Jul%202023%2009:55:04%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/new_UC_Logo.svg	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/new_UC_Logo.svg	(from https://umrahcompanions.com/)
18:28:35	160718/160718	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2013:28:33%20GMT	https://umrahcompanions.com/packages	C:/My%20Web%20Sites/ucold/umrahcompanions.com/packages.html	(from https://umrahcompanions.com/)
18:28:35	94815/94815	---M--	200	added ('OK')	text/css	date:Tue,%2029%20Jul%202025%2004:41:52%20GMT	https://umrahcompanions.com/assets/frontend/css/home.css	C:/My%20Web%20Sites/ucold/umrahcompanions.com/assets/frontend/css/home.css	(from https://umrahcompanions.com/)
18:28:35	111296/111296	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2013:28:34%20GMT	https://umrahcompanions.com/packages?type=flight_package	C:/My%20Web%20Sites/ucold/umrahcompanions.com/packages4cc0.html	(from https://umrahcompanions.com/)
18:28:37	150445/150445	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2013:28:35%20GMT	https://umrahcompanions.com/packages?type=land_package	C:/My%20Web%20Sites/ucold/umrahcompanions.com/packagesbc9d.html	(from https://umrahcompanions.com/)
18:28:37	100392/100392	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2013:28:36%20GMT	https://umrahcompanions.com/packages?type=umrah_plus	C:/My%20Web%20Sites/ucold/umrahcompanions.com/packages4b15.html	(from https://umrahcompanions.com/)
18:28:38	97623/97623	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2013:28:36%20GMT	https://umrahcompanions.com/visaprices	C:/My%20Web%20Sites/ucold/umrahcompanions.com/visaprices.html	(from https://umrahcompanions.com/)
18:28:39	99179/99179	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2013:28:37%20GMT	https://umrahcompanions.com/experiences	C:/My%20Web%20Sites/ucold/umrahcompanions.com/experiences.html	(from https://umrahcompanions.com/)
18:28:45	127869/127869	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2013:28:43%20GMT	https://umrahcompanions.com/reservehotel_table?city=56772&dates=2025-07-31+-+2025-08-01&total_travellers=2&total_rooms=1&rooms%5Badults%5D%5B%5D=2&rooms%5Bchilds%5D%5B%5D=0&rooms%5Broom%5D%5B%5D=1	C:/My%20Web%20Sites/ucold/umrahcompanions.com/reservehotel_table1f95.html	(from https://umrahcompanions.com/)
